x,y
-19.93039930399304,-397.22081641660617
-19.929999299993,-397.2048720977215
-19.92959929599296,-397.1889280988431
-19.92919929199292,-397.1729844199711
-19.92879928799288,-397.15704106110553
-19.92839928399284,-397.1410980222463
-19.9279992799928,-397.12515530339357
-19.92759927599276,-397.1092129045471
-19.92719927199272,-397.0932708257072
-19.92679926799268,-397.0773290668737
-19.92639926399264,-397.0613876280464
-19.9259992599926,-397.04544650922566
-19.92559925599256,-397.02950571041123
-19.92519925199252,-397.0135652316033
-19.92479924799248,-396.9976250728016
-19.92439924399244,-396.98168523400653
-19.9239992399924,-396.9657457152178
-19.92359923599236,-396.94980651643533
-19.92319923199232,-396.9338676376594
-19.92279922799228,-396.91792907888976
-19.92239922399224,-396.90199084012664
-19.9219992199922,-396.88605292136975
-19.92159921599216,-396.8701153226194
-19.92119921199212,-396.8541780438755
-19.92079920799208,-396.83824108513784
-19.92039920399204,-396.82230444640675
-19.919999199992,-396.8063681276819
-19.91959919599196,-396.7904321289636
-19.91919919199192,-396.7744964502515
-19.91879918799188,-396.75856109154597
-19.91839918399184,-396.74262605284684
-19.9179991799918,-396.726691334154
-19.91759917599176,-396.71075693546766
-19.91719917199172,-396.6948228567876
-19.91679916799168,-396.6788890981141
-19.91639916399164,-396.6629556594468
-19.9159991599916,-396.6470225407861
-19.91559915599156,-396.6310897421318
-19.91519915199152,-396.61515726348375
-19.91479914799148,-396.5992251048422
-19.91439914399144,-396.58329326620697
-19.9139991399914,-396.5673617475782
-19.91359913599136,-396.55143054895575
-19.91319913199132,-396.53549967033985
-19.91279912799128,-396.51956911173033
-19.91239912399124,-396.50363887312704
-19.9119991199912,-396.4877089545304
-19.91159911599116,-396.4717793559399
-19.91119911199112,-396.455850077356
-19.910799107991078,-396.43992111877833
-19.91039910399104,-396.4239924802072
-19.909999099991,-396.40806416164247
-19.90959909599096,-396.39213616308405
-19.90919909199092,-396.3762084845321
-19.90879908799088,-396.36028112598643
-19.90839908399084,-396.3443540874473
-19.907999079990798,-396.32842736891445
-19.90759907599076,-396.31250097038816
-19.90719907199072,-396.29657489186826
